"","Ayos.t","Ayos.method","Ayos.order","Ayos.qD","Ayos.qD.LCL","Ayos.qD.UCL","Ayos.SC","Ayos.SC.LCL","Ayos.SC.UCL","Bokito.t","Bokito.method","Bokito.order","Bokito.qD","Bokito.qD.LCL","Bokito.qD.UCL","Bokito.SC","Bokito.SC.LCL","Bokito.SC.UCL","Konye.t","Konye.method","Konye.order","Konye.qD","Konye.qD.LCL","Konye.qD.UCL","Konye.SC","Konye.SC.LCL","Konye.SC.UCL"
"1",1,"interpolated",0,1,0.904,1.096,0.001,0.001,0.002,1,"interpolated",0,1,0.908,1.092,0.001,0.001,0.002,1,"interpolated",0,1,0.891,1.109,0.002,0.001,0.003
"2",23,"interpolated",0,22.729,20.578,24.879,0.024,0.014,0.035,26,"interpolated",0,25.526,23.257,27.795,0.037,0.024,0.051,21,"interpolated",0,20.641,18.448,22.835,0.035,0.02,0.05
"3",45,"interpolated",0,43.962,39.831,48.093,0.046,0.028,0.064,51,"interpolated",0,49.186,44.914,53.458,0.071,0.048,0.093,42,"interpolated",0,40.577,36.333,44.82,0.067,0.042,0.092
"4",67,"interpolated",0,64.733,58.677,70.789,0.066,0.043,0.09,76,"interpolated",0,72.045,65.897,78.192,0.101,0.073,0.13,62,"interpolated",0,58.967,52.862,65.072,0.095,0.064,0.126
"5",89,"interpolated",0,85.071,77.136,93.006,0.085,0.058,0.113,101,"interpolated",0,94.161,86.235,102.086,0.13,0.097,0.163,83,"interpolated",0,77.708,69.718,85.699,0.121,0.085,0.157
"6",111,"interpolated",0,105.004,95.232,114.777,0.103,0.072,0.134,126,"interpolated",0,115.589,105.965,125.213,0.156,0.121,0.192,104,"interpolated",0,95.921,86.101,105.741,0.145,0.106,0.184
"7",134,"interpolated",0,125.436,113.785,137.087,0.121,0.087,0.155,151,"interpolated",0,136.381,125.124,147.637,0.181,0.143,0.218,124,"interpolated",0,112.819,101.298,124.34,0.166,0.125,0.207
"8",156,"interpolated",0,144.613,131.203,158.023,0.136,0.1,0.173,176,"interpolated",0,156.583,143.752,169.413,0.204,0.165,0.243,145,"interpolated",0,130.134,116.866,143.402,0.186,0.143,0.228
"9",178,"interpolated",0,163.453,148.321,178.585,0.151,0.113,0.19,201,"interpolated",0,176.237,161.883,190.591,0.225,0.184,0.265,165,"interpolated",0,146.252,131.353,161.152,0.203,0.16,0.247
"10",200,"interpolated",0,181.973,165.155,198.792,0.165,0.125,0.206,226,"interpolated",0,195.383,179.554,211.213,0.244,0.203,0.285,186,"interpolated",0,162.817,146.235,179.4,0.22,0.175,0.264
"11",222,"interpolated",0,200.192,181.721,218.663,0.179,0.137,0.221,251,"interpolated",0,214.058,196.794,231.321,0.262,0.22,0.304,207,"interpolated",0,179.045,160.808,197.283,0.235,0.19,0.281
"12",244,"interpolated",0,218.125,198.035,238.215,0.191,0.147,0.235,276,"interpolated",0,232.292,213.633,250.951,0.279,0.236,0.322,227,"interpolated",0,194.212,174.421,214.003,0.249,0.203,0.295
"13",267,"interpolated",0,236.584,214.835,258.333,0.204,0.158,0.25,301,"interpolated",0,250.116,230.096,270.136,0.295,0.251,0.339,248,"interpolated",0,209.857,188.456,231.258,0.262,0.215,0.309
"14",289,"interpolated",0,253.977,230.674,277.281,0.215,0.168,0.263,326,"interpolated",0,267.556,246.207,288.905,0.31,0.265,0.355,268,"interpolated",0,224.508,201.591,247.425,0.273,0.226,0.321
"15",311,"interpolated",0,271.127,246.297,295.958,0.226,0.177,0.275,351,"interpolated",0,284.636,261.986,307.287,0.324,0.278,0.37,289,"interpolated",0,239.648,215.155,264.142,0.285,0.236,0.334
"16",333,"interpolated",0,288.046,261.716,314.376,0.236,0.186,0.287,376,"interpolated",0,301.377,277.45,325.304,0.337,0.29,0.384,310,"interpolated",0,254.555,228.498,280.613,0.296,0.246,0.346
"17",355,"interpolated",0,304.745,276.942,332.548,0.246,0.194,0.298,401,"interpolated",0,317.798,292.616,342.98,0.35,0.301,0.398,330,"interpolated",0,268.548,241.01,296.085,0.305,0.254,0.357
"18",377,"interpolated",0,321.236,291.982,350.489,0.255,0.201,0.309,426,"interpolated",0,333.916,307.498,360.335,0.361,0.312,0.411,351,"interpolated",0,283.036,253.951,312.12,0.315,0.263,0.368
"19",400,"interpolated",0,338.264,307.519,369.01,0.264,0.209,0.32,452,"interpolated",0,350.373,322.684,378.062,0.373,0.322,0.424,372,"interpolated",0,297.324,266.697,327.952,0.324,0.27,0.378
"20",401,"observed",0,339,308.19,369.81,0.265,0.209,0.321,453,"observed",0,351,323.262,378.738,0.374,0.323,0.424,373,"observed",0,298,267.299,328.701,0.325,0.271,0.379
"21",402,"extrapolated",0,339.735,308.861,370.61,0.265,0.209,0.321,454,"extrapolated",0,351.626,323.84,379.413,0.374,0.323,0.425,374,"extrapolated",0,298.675,267.901,329.449,0.325,0.271,0.379
"22",423,"extrapolated",0,355.087,322.871,387.303,0.273,0.216,0.331,477,"extrapolated",0,365.915,337.016,394.814,0.384,0.332,0.436,393,"extrapolated",0,311.422,279.253,343.59,0.333,0.278,0.389
"23",444,"extrapolated",0,370.271,336.729,403.813,0.281,0.222,0.34,501,"extrapolated",0,380.582,350.529,410.635,0.394,0.341,0.448,413,"extrapolated",0,324.673,291.036,358.309,0.342,0.285,0.399
"24",465,"extrapolated",0,385.288,350.433,420.142,0.289,0.228,0.35,525,"extrapolated",0,395.004,363.801,426.207,0.404,0.349,0.459,432,"extrapolated",0,337.105,302.073,372.137,0.35,0.291,0.408
"25",486,"extrapolated",0,400.14,363.985,436.294,0.297,0.234,0.359,549,"extrapolated",0,409.185,376.834,441.536,0.414,0.358,0.471,452,"extrapolated",0,350.03,313.526,386.533,0.358,0.298,0.418
"26",507,"extrapolated",0,414.829,377.383,452.275,0.305,0.24,0.369,572,"extrapolated",0,422.553,389.1,456.007,0.424,0.366,0.481,471,"extrapolated",0,362.156,324.25,400.061,0.366,0.304,0.428
"27",528,"extrapolated",0,429.357,390.628,468.086,0.312,0.246,0.378,596,"extrapolated",0,436.275,401.669,470.882,0.433,0.374,0.492,491,"extrapolated",0,374.761,335.376,414.147,0.374,0.311,0.437
"28",549,"extrapolated",0,443.726,403.718,483.733,0.32,0.252,0.387,620,"extrapolated",0,449.768,414.002,485.534,0.443,0.382,0.503,511,"extrapolated",0,387.207,346.335,428.08,0.382,0.317,0.447
"29",570,"extrapolated",0,457.937,416.655,499.218,0.327,0.258,0.396,644,"extrapolated",0,463.036,426.103,499.968,0.452,0.39,0.514,530,"extrapolated",0,398.884,356.592,441.175,0.389,0.323,0.456
"30",591,"extrapolated",0,471.992,429.438,514.545,0.335,0.264,0.405,668,"extrapolated",0,476.082,437.973,514.191,0.461,0.398,0.524,550,"extrapolated",0,411.023,367.23,454.816,0.397,0.329,0.465
"31",612,"extrapolated",0,485.893,442.068,529.718,0.342,0.27,0.414,691,"extrapolated",0,488.381,449.134,527.628,0.47,0.406,0.534,569,"extrapolated",0,422.412,377.185,467.639,0.404,0.335,0.474
"32",633,"extrapolated",0,499.641,454.543,544.74,0.349,0.275,0.423,715,"extrapolated",0,501.005,460.558,541.451,0.479,0.413,0.544,589,"extrapolated",0,434.252,387.506,480.997,0.412,0.341,0.483
"33",654,"extrapolated",0,513.239,466.865,559.613,0.356,0.281,0.431,739,"extrapolated",0,513.418,471.758,555.078,0.487,0.421,0.554,608,"extrapolated",0,445.36,397.162,493.558,0.419,0.347,0.491
"34",675,"extrapolated",0,526.687,479.034,574.341,0.363,0.287,0.44,763,"extrapolated",0,525.624,482.737,568.512,0.496,0.428,0.563,628,"extrapolated",0,456.908,407.171,506.644,0.426,0.353,0.5
"35",696,"extrapolated",0,539.988,491.05,588.926,0.37,0.292,0.448,787,"extrapolated",0,537.627,493.496,581.757,0.504,0.436,0.573,648,"extrapolated",0,468.309,417.023,519.595,0.434,0.359,0.509
"36",717,"extrapolated",0,553.143,502.914,603.372,0.377,0.298,0.456,810,"extrapolated",0,548.941,503.605,594.278,0.512,0.443,0.582,667,"extrapolated",0,479.006,426.238,531.774,0.441,0.364,0.517
"37",738,"extrapolated",0,566.154,514.627,617.682,0.384,0.303,0.465,834,"extrapolated",0,560.555,513.944,607.165,0.52,0.45,0.591,687,"extrapolated",0,490.126,435.786,544.465,0.448,0.37,0.525
"38",759,"extrapolated",0,579.022,526.188,631.856,0.391,0.309,0.473,858,"extrapolated",0,571.975,524.074,619.876,0.528,0.457,0.6,706,"extrapolated",0,500.559,444.716,556.402,0.454,0.375,0.533
"39",780,"extrapolated",0,591.749,537.599,645.899,0.397,0.314,0.481,882,"extrapolated",0,583.204,533.996,632.413,0.536,0.464,0.608,726,"extrapolated",0,511.405,453.968,568.842,0.461,0.381,0.541
"40",802,"extrapolated",0,604.932,549.392,660.472,0.404,0.32,0.489,906,"extrapolated",0,594.246,543.714,644.779,0.544,0.471,0.617,746,"extrapolated",0,522.113,463.071,581.156,0.468,0.387,0.549
